cell,stimul,frame,time,mask,int,delta,rel
cell8_02_22,20,102,82.0,cell,460.94,-0.07013787756862469,460.94
cell8_02_22,20,102,82.0,up,485.969,0.002758587390311154,1.05429990888185
cell8_02_22,20,102,82.0,down,438.777,-0.11433954990023688,0.9519178201067384
cell8_02_22,20,103,83.0,cell,461.817,-0.06836869051310265,461.817
cell8_02_22,20,103,83.0,up,495.37,0.022156807194570943,1.0726543197846765
cell8_02_22,20,103,83.0,down,439.524,-0.11283174899858402,0.9517276323738624
cell8_02_22,20,104,84.0,cell,460.804,-0.0704122326878391,460.804
cell8_02_22,20,104,84.0,up,493.599,0.018502488795108723,1.071169087073897
cell8_02_22,20,104,84.0,down,437.781,-0.1163499511024406,0.950037326064878
cell8_02_22,20,105,85.0,cell,458.783,-0.07448923045204653,458.783
cell8_02_22,20,105,85.0,up,489.584,0.010217853914340432,1.0671363149898754
cell8_02_22,20,105,85.0,down,437.012,-0.11790215845635096,0.9525461928624208
cell8_02_22,20,106,86.0,cell,453.879,-0.08438215328018785,453.879
cell8_02_22,20,106,86.0,up,481.926,-0.005583823275428912,1.0617940023662693
cell8_02_22,20,106,86.0,down,431.576,-0.12887458911416186,0.9508613529156449
cell8_02_22,20,107,87.0,cell,457.424,-0.07723076432713714,457.424
cell8_02_22,20,107,87.0,up,475.626,-0.018583374894069138,1.0397924026723564
cell8_02_22,20,107,87.0,down,436.268,-0.11940390393269601,0.953749693938228
cell8_02_22,20,108,88.0,cell,461.779,-0.06844534856111846,461.779
cell8_02_22,20,108,88.0,up,490.21,0.011509555392637013,1.0615684125956355
cell8_02_22,20,108,88.0,down,438.859,-0.11417403494182252,0.950365867655307
cell8_02_22,20,109,89.0,cell,453.463,-0.08522135717425529,453.463
cell8_02_22,20,109,89.0,up,486.482,0.0038171223078290687,1.072815202122334
cell8_02_22,20,109,89.0,down,431.357,-0.12931663516163436,0.951250708437072
cell8_02_22,20,110,90.0,cell,456.822,-0.07844518919307125,456.822
cell8_02_22,20,110,90.0,up,485.311,0.0014008564434753678,1.0623634588526822
cell8_02_22,20,110,90.0,down,434.585,-0.12280099753039574,0.9513223969073292
cell8_02_22,20,111,91.0,cell,460.187,-0.07165691730956887,460.187
cell8_02_22,20,111,91.0,up,488.23,0.007423982026778743,1.0609382707464574
cell8_02_22,20,111,91.0,down,437.104,-0.11771645874691049,0.9498399563655644
